Equipe;Pontos;Ref;Assistência;Roubo;Block;Faltas;Turnover;Orebote;FGA;FGM;3A;3M;FTA;FTM
"Sixers";121;"DIA 36.9 Sixers-pacers.xls";30;13;11;18;15;7;99;50;26;9;19;12
"Sixers";103;"DIA 54.12 Bulls-Sixers.xls";29;6;7;12;8;7;109;41;32;9;17;12
"Sixers";132;"DIA 56.13 wizards-Sixers.xls";33;9;5;21;15;7;100;49;27;11;30;23
"Sixers";127;"DIA 57.13 mavericks-Sixers.xls";33;12;8;9;10;7;94;45;27;11;37;26
"Sixers";108;"DIA 6.2 heat-Sixers.xls";25;12;10;22;27;7;87;44;23;7;23;13
"Sixers";122;"DIA 71.16 hawks-Sixers.xls";31;13;5;11;20;7;93;50;21;6;19;16
"Sixers";124;"DIA 76.17 Sixers-Bulls.xls";40;5;13;16;13;7;107;48;28;12;22;16
"Sixers";112;"DIA 88.19 Sixers-hornets.xls";28;10;10;16;12;7;102;49;22;8;9;6
"Sixers";95;"DIA 92.20 hornets-Sixers.xls";20;8;4;13;10;7;98;38;16;3;22;16
"nuggets";124;"DIA 101.22 clippers-nuggets.xls";30;7;8;12;12;7;89;45;23;10;26;24
"nuggets";107;"DIA 105.22 trailblazers-nuggets.xls";26;8;6;22;11;7;93;37;26;7;32;26
"nuggets";116;"DIA 118.25 Kings-nuggets.xls";30;6;9;14;9;7;103;45;29;12;16;14
"nuggets";110;"DIA 33.8 Jazz-nuggets.xls";23;15;6;17;13;7;105;45;24;9;12;11
"nuggets";117;"DIA 52.12 rockets-nuggets.xls";30;11;7;13;8;7;103;45;18;6;25;21
"nuggets";119;"DIA 65.14 nuggets-rockets.xls";31;10;6;8;7;7;106;47;26;10;19;15
"nuggets";127;"DIA 68.15 celtics-nuggets.xls";35;10;4;13;12;7;103;49;21;8;25;21
"nuggets";115;"DIA 91.20 warriors-nuggets.xls";26;10;10;8;10;7;93;43;18;5;31;24
"nuggets";108;"DIA 96.21 nuggets-warriors.xls";35;12;6;6;11;7;93;46;21;8;12;8
"Jazz";114;"DIA 120.26 Jazz-grizzlies.xls";32;10;7;11;11;7;99;46;22;8;21;14
"Jazz";102;"DIA 123.27 Jazz-lakers.xls";26;9;7;13;12;7;96;39;30;11;17;13
"Jazz";116;"DIA 64.14 Jazz-timberwolves.xls";25;8;10;9;7;7;100;42;22;8;33;24
"Jazz";118;"DIA 71.16 thunder-Jazz.xls";26;16;8;9;13;7;100;46;29;7;26;19
"Jazz";118;"DIA 82.18 heat-Jazz.xls";26;13;4;7;10;7;106;46;31;9;21;17
"Jazz";137;"DIA 84.18 Jazz-Kings.xls";35;6;11;14;9;7;109;54;27;11;28;18
"Jazz";119;"DIA 86.19 Jazz-pistons.xls";30;17;9;13;4;7;106;50;27;8;16;11
"pelicans";110;"DIA 129.28 pelicans-spurs.xls";31;7;10;16;15;7;85;45;13;4;28;16
"pelicans";122;"DIA 104.22 timberwolves-pelicans.xls";32;10;10;9;13;7;92;47;8;3;36;25
"pelicans";107;"DIA 113.24 pistons-pelicans.xls";28;10;14;15;11;7;94;43;14;7;20;14
"pelicans";109;"DIA 55.12 pelicans-pistons.xls";31;13;9;19;17;7;93;47;9;4;15;11
"pelicans";129;"DIA 56.13 cavaliers-pelicans.xls";44;8;14;13;7;7;105;56;16;7;13;10
"pelicans";85;"DIA 59.13 thunder-pelicans.xls";26;7;11;19;8;7;94;35;11;2;15;13
"pelicans";104;"DIA 62.14 pelicans-Sixers.xls";28;10;3;10;13;7;94;43;4;0;31;18
"pelicans";130;"DIA 78.17 pelicans-spurs.xls";27;7;15;28;9;7;98;48;4;3;40;31
"timberwolves";101;"DIA 127.28 pelicans-timberwolves.xls";30;10;5;16;14;7;90;42;20;9;12;8
"timberwolves";113;"DIA 116.25 timberwolves-Bulls.xls";26;11;8;27;11;7;99;45;20;8;20;15
"timberwolves";92;"DIA 118.25 Suns-timberwolves.xls";26;7;10;12;4;7;100;40;16;4;11;8
"timberwolves";118;"DIA 12.3 timberwolves-raptors.xls";25;16;7;19;20;7;105;47;30;12;17;12
"timberwolves";104;"DIA 120.26 Kings-timberwolves.xls";28;11;10;16;14;7;100;42;28;12;10;8
"timberwolves";91;"DIA 123.27 thunder-timberwolves.xls";24;5;11;17;10;7;94;35;22;8;16;13
"timberwolves";103;"DIA 125.27 magic-timberwolves.xls";24;12;4;11;6;7;100;37;32;11;20;18
"timberwolves";120;"DIA 21.6 timberwolves-bucks.xls";29;14;9;13;17;7;109;48;25;8;17;16
"timberwolves";103;"DIA 28.7 lakers-timberwolves.xls";27;11;6;11;20;7;99;40;22;7;21;16
"timberwolves";109;"DIA 5.2 knicks-timberwolves.xls";29;11;7;17;16;7;95;42;30;10;20;15
"timberwolves";109;"DIA 71.16 timberwolves-lakers.xls";32;12;12;19;8;7;91;43;18;6;22;17
"timberwolves";86;"DIA 85.18 timberwolves-Kings.xls";21;12;8;17;16;7;94;36;22;5;11;9
"timberwolves";117;"DIA 91.20 timberwolves-trailblazers.xls";33;6;6;16;9;7;96;48;13;5;22;16
"timberwolves";95;"DIA 94.20 timberwolves-cavaliers.xls";30;9;7;8;10;7;100;40;23;8;8;7
"thunder";115;"DIA 128.28 thunder-raptors.xls";35;9;7;24;9;7;100;48;15;4;23;15
"thunder";115;"DIA 10.3 nuggets-thunder.xls";23;12;5;16;17;7;93;39;31;8;32;29
"thunder";125;"DIA 11.3 thunder-trailblazers.xls";28;15;7;13;26;7;95;46;31;12;24;21
"thunder";111;"DIA 113.24 spurs-thunder.xls";31;5;6;22;15;7;92;44;14;4;27;19
"thunder";120;"DIA 114.24 thunder-warriors.xls";31;5;3;13;20;7;92;50;25;11;14;9
"thunder";106;"DIA 118.25 cavaliers-thunder.xls";31;7;8;12;12;7;92;44;23;8;12;10
"thunder";109;"DIA 19.5 timberwolves-thunder.xls";31;10;7;14;20;7;94;42;22;7;26;18
"thunder";114;"DIA 2.1 raptors-thunder.xls";26;17;7;23;18;7;97;47;16;4;24;16
"thunder";114;"DIA 30.7 thunder-pistons.xls";35;6;10;18;12;7;102;49;22;5;15;11
"thunder";134;"DIA 45.10 thunder-cavaliers.xls";40;7;6;12;10;7;98;58;13;5;18;13
"thunder";93;"DIA 56.13 trailblazers-thunder.xls";24;8;8;16;7;7;103;35;26;6;21;17
"thunder";119;"DIA 66.15 pelicans-thunder.xls";30;13;6;17;13;7;104;49;18;5;22;16
"thunder";120;"DIA 72.16 thunder-rockets.xls";32;8;9;16;11;7;95;47;14;7;23;19
"thunder";121;"DIA 8.2 thunder-Sixers.xls";34;14;6;14;16;7;100;49;25;9;23;14
"thunder";108;"DIA 92.20 thunder-bucks.xls";21;13;6;8;10;7;100;42;20;8;21;16
"hawks";103;"DIA 10.3 spurs-hawks.xls";25;6;10;17;20;7;85;36;31;12;20;19
"hawks";99;"DIA 115.25 pacers-hawks.xls";24;3;11;20;15;7;91;36;39;14;15;13
"hawks";104;"DIA 126.27 rockets-hawks.xls";29;5;6;14;11;7;92;42;40;17;3;3
"hawks";102;"DIA 15.4 Jazz-hawks.xls";25;8;8;15;18;7;101;39;39;13;14;11
"hawks";131;"DIA 17.5 clippers-hawks.xls";28;12;5;14;24;7;97;45;35;17;26;24
"hawks";99;"DIA 18.5 Suns-hawks.xls";26;15;11;12;15;7;97;38;31;9;16;14
"hawks";105;"DIA 44.10 hawks-rockets.xls";26;11;10;16;12;7;95;38;33;13;19;16
"hawks";112;"DIA 45.10 hawks-hornets.xls";31;11;5;15;18;7;105;42;41;12;16;16
"hawks";85;"DIA 57.13 magic-hawks.xls";21;5;6;14;10;7;91;33;31;8;12;11
"hawks";104;"DIA 71.16 hawks-Sixers.xls";22;16;8;17;18;7;92;41;32;8;16;14
"trailblazers";126;"DIA 107.23 trailblazers-nets.xls";33;7;7;8;13;7;90;49;22;10;22;18
"trailblazers";128;"DIA 13.4 Sixers-trailblazers.xls";28;13;9;18;19;7;101;53;25;10;18;12
"trailblazers";147;"DIA 14.4 bucks-trailblazers.xls";42;10;5;14;13;7;95;57;16;10;28;23
"trailblazers";108;"DIA 19.5 warriors-trailblazers.xls";28;6;8;13;17;7;93;40;24;8;27;20
"trailblazers";113;"DIA 26.7 rockets-trailblazers.xls";23;9;10;13;19;7;91;42;24;6;26;23
"trailblazers";123;"DIA 28.7 magic-trailblazers.xls";29;9;11;8;15;7;98;47;27;8;25;21
"trailblazers";125;"DIA 42.10 lakers-trailblazers.xls";30;11;5;16;8;7;100;45;23;7;38;28
"trailblazers";117;"DIA 51.12 hawks-trailblazers.xls";31;9;8;11;8;7;104;48;25;7;16;14
"trailblazers";97;"DIA 62.14 thunder-trailblazers.xls";27;11;2;20;14;7;96;36;16;3;29;22
"trailblazers";126;"DIA 7.2 pelicans-trailblazers.xls";30;10;8;22;13;7;96;48;28;12;22;18
"trailblazers";123;"DIA 76.17 nets-trailblazers.xls";31;13;5;12;10;7;95;46;15;4;32;27
"trailblazers";103;"DIA 97.21 trailblazers-Jazz.xls";31;9;5;18;13;7;99;43;28;12;6;5
"trailblazers";119;"DIA 99.21 trailblazers-clippers.xls";24;6;9;14;10;7;89;38;21;8;39;35
"Kings";99;"DIA 22.6 Kings-Jazz.xls";26;8;5;15;16;7;101;41;19;5;16;12
"Kings";106;"DIA 23.6 hawks-Kings.xls";30;9;5;9;15;7;100;42;16;5;23;17
"Kings";111;"DIA 29.7 spurs-Kings.xls";26;6;13;11;18;7;87;41;15;3;34;26
"Kings";104;"DIA 31.8 grizzlies-Kings.xls";29;4;6;23;10;7;101;46;13;4;12;8
"Kings";111;"DIA 49.11 pelicans-Kings.xls";27;6;4;19;13;7;105;48;14;1;18;14
"Kings";112;"DIA 63.14 pelicans-Kings.xls";30;8;6;12;17;7;92;42;25;6;29;22
"Kings";119;"DIA 70.15 Kings-Bulls.xls";30;8;9;17;13;7;103;45;27;12;20;17
"Kings";106;"DIA 73.16 Kings-celtics.xls";25;14;6;10;14;7;101;45;24;5;15;11
"Kings";106;"DIA 81.18 trailblazers-Kings.xls";23;9;10;14;11;7;93;43;19;6;18;14
"Kings";121;"DIA 88.19 Kings-knicks.xls";22;9;5;8;8;7;85;42;26;14;33;23
"pacers";141;"DIA 11.3 hornets-pacers.xls";35;11;9;16;18;7;114;54;29;11;26;22
"pacers";127;"DIA 110.23 rockets-pacers.xls";33;9;8;6;7;7;95;46;27;18;24;17
"pacers";130;"DIA 16.4 nuggets-pacers.xls";32;15;2;15;17;7;108;48;34;12;25;22
"pacers";117;"DIA 33.8 heat-pacers.xls";30;4;10;28;14;7;95;43;30;10;24;21
"pacers";104;"DIA 50.11 Sixers-pacers.xls";27;7;12;17;16;7;93;40;28;8;20;16
"pacers";130;"DIA 67.15 pacers-knicks.xls";29;16;13;11;10;7;111;52;30;10;21;16
"pacers";114;"DIA 72.16 pacers-magic.xls";27;9;11;5;9;7;105;45;33;13;14;11
"pacers";108;"DIA 92.20 clippers-pacers.xls";25;9;12;16;6;7;104;40;44;12;22;16
"celtics";93;"DIA 10.3 celtics-heat.xls";26;6;11;13;25;7;92;36;25;9;17;12
"celtics";94;"DIA 100.21 heat-celtics.xls";21;8;6;14;7;7;98;34;35;14;20;12
"celtics";89;"DIA 108.23 celtics-hawks.xls";24;9;10;17;12;7;93;34;26;4;20;17
"celtics";110;"DIA 11.3 knicks-celtics.xls";32;6;6;11;13;7;97;44;19;6;20;16
"celtics";98;"DIA 12.3 celtics-Jazz.xls";32;16;8;23;19;7;99;42;19;7;8;7
"celtics";132;"DIA 124.27 celtics-mavericks.xls";41;6;7;12;7;7;106;52;36;13;15;15
"celtics";102;"DIA 126.27 celtics-knicks.xls";26;14;4;14;11;7;100;40;33;8;14;14
"celtics";115;"DIA 25.6 celtics-wizards.xls";33;10;7;21;14;7;107;48;27;10;10;9
"celtics";120;"DIA 31.8 nets-celtics.xls";26;9;12;10;16;7;101;46;26;11;18;17
"celtics";99;"DIA 37.9 celtics-thunder.xls";26;5;12;20;14;7;98;39;36;11;12;10
"celtics";83;"DIA 4.1 celtics-raptors.xls";22;5;7;17;20;7;83;31;14;6;21;15
"celtics";113;"DIA 40.9 celtics-trailblazers.xls";30;11;10;23;10;7;103;44;35;12;16;13
"celtics";96;"DIA 46.11 hornets-celtics.xls";27;8;11;27;17;7;95;36;27;10;17;14
"celtics";99;"DIA 53.12 celtics-pistons.xls";24;12;9;15;17;7;91;37;32;13;16;12
"celtics";120;"DIA 88.19 celtics-lakers.xls";34;5;7;16;9;7;97;45;40;17;16;13
"celtics";100;"DIA 96.21 Jazz-celtics.xls";23;5;4;8;11;7;99;37;39;14;14;12
"clippers";112;"DIA 128.28 clippers-nuggets.xls";31;11;4;9;3;7;96;45;14;3;22;19
"clippers";101;"DIA 104.22 clippers-spurs.xls";25;8;16;20;12;7;97;40;24;7;20;14
"clippers";109;"DIA 122.26 mavericks-clippers.xls";28;9;11;8;10;7;103;45;19;3;18;16
"clippers";114;"DIA 25.6 warriors-clippers.xls";29;9;10;14;18;7;92;47;8;5;22;15
"clippers";120;"DIA 29.7 clippers-Bulls.xls";27;8;15;10;9;7;93;44;18;7;31;25
"clippers";124;"DIA 4.1 clippers-warriors.xls";31;12;9;5;13;7;86;45;16;8;34;26
"clippers";108;"DIA 52.12 Kings-clippers.xls";30;17;11;18;15;7;103;47;19;5;16;9
"clippers";102;"DIA 85.18 clippers-thunder.xls";28;11;6;10;12;7;98;40;19;7;19;15
"magic";112;"DIA 128.28 heat-magic.xls";30;7;10;8;10;7;95;42;34;15;14;13
"magic";100;"DIA 129.28 Sixers-magic.xls";25;10;10;8;13;7;92;37;29;10;18;16
"magic";105;"DIA 130.28 magic-bucks.xls";27;9;12;17;9;7;99;42;29;10;15;11
"magic";122;"DIA 114.24 magic-wizards.xls";37;5;9;20;10;7;98;47;24;13;18;15
"magic";122;"DIA 14.4 timberwolves-magic.xls";32;12;6;15;20;7;101;45;38;19;15;13
"magic";84;"DIA 18.5 spurs-magic.xls";27;7;7;19;14;7;98;34;43;12;11;4
"magic";130;"DIA 25.6 pacers-magic.xls";34;16;4;17;21;7;113;53;39;16;12;8
"magic";103;"DIA 3.1 heat-magic.xls";23;16;8;18;18;7;94;38;40;15;16;12
"magic";104;"DIA 43.10 magic-wizards.xls";23;14;5;24;10;7;99;45;33;8;10;6
"magic";126;"DIA 48.11 magic-knicks.xls";37;9;10;8;9;7;104;53;32;11;11;9
"magic";115;"DIA 82.18 celtics-magic.xls";28;6;10;7;12;7;96;44;38;15;17;12
"magic";81;"DIA 92.20 Kings-magic.xls";21;7;7;13;12;7;85;30;16;5;19;16
"rockets";88;"DIA 101.22 Kings-rockets.xls";25;3;4;15;15;7;92;34;26;8;19;12
"rockets";60;"DIA 114.24 rockets-nets.xls";17;3;2;7;9;7;90;25;0;0;14;10
"rockets";82;"DIA 12.3 trailblazers-rockets.xls";20;12;11;12;23;7;84;33;19;3;15;13
"rockets";111;"DIA 32.8 rockets-warriors.xls";31;11;13;18;15;7;103;43;34;13;14;12
"rockets";121;"DIA 33.8 rockets-warriors.xls";33;7;11;18;10;7;105;44;43;15;24;18
"rockets";97;"DIA 46.11 lakers-rockets.xls";18;11;3;15;13;7;103;35;34;10;19;17
"rockets";102;"DIA 55.12 warriors-rockets.xls";26;9;7;18;16;7;94;39;30;12;15;12
"rockets";112;"DIA 65.14 nuggets-rockets.xls";33;6;8;16;12;7;103;44;38;13;11;11
"rockets";120;"DIA 82.18 rockets-bucks.xls";28;8;4;10;12;7;91;41;34;16;26;22
"rockets";75;"DIA 90.19 rockets-thunder.xls";20;6;4;18;12;7;89;29;30;5;20;12
"rockets";88;"DIA 94.20 Suns-rockets.xls";21;12;9;16;13;7;92;32;26;12;16;12
"spurs";123;"DIA 102.22 hawks-spurs.xls";34;4;8;12;7;7;92;43;23;10;35;27
"spurs";114;"DIA 111.24 nuggets-spurs.xls";24;11;6;14;18;7;93;42;26;6;29;24
"spurs";115;"DIA 117.25 timberwolves-spurs.xls";27;11;4;14;10;7;96;42;38;16;15;15
"spurs";121;"DIA 39.9 spurs-clippers.xls";23;12;5;18;10;7;100;46;40;14;18;15
"spurs";117;"DIA 43.10 warriors-spurs.xls";29;8;14;12;12;7;98;43;35;12;21;19
"spurs";130;"DIA 50.11 spurs-trailblazers.xls";34;9;7;20;7;7;103;46;45;20;21;18
"spurs";90;"DIA 72.16 trailblazers-spurs.xls";23;10;2;11;16;7;94;36;21;3;17;15
"spurs";135;"DIA 78.17 pelicans-spurs.xls";31;8;11;25;9;7;103;46;28;12;41;31
"knicks";104;"DIA 128.28 spurs-knicks.xls";26;9;4;19;17;7;88;41;19;5;24;17
"knicks";120;"DIA 129.28 knicks-cavaliers.xls";32;8;9;9;10;7;100;52;25;9;9;7
"knicks";86;"DIA 112.24 trailblazers-knicks.xls";19;13;5;22;14;7;99;39;24;4;5;4
"knicks";111;"DIA 12.3 magic-knicks.xls";26;10;6;11;7;7;91;42;17;8;22;19
"knicks";128;"DIA 123.27 knicks-nets.xls";36;6;13;8;10;7;84;50;20;9;22;19
"knicks";97;"DIA 126.27 celtics-knicks.xls";22;8;7;13;18;7;93;36;32;9;19;16
"knicks";101;"DIA 38.9 wizards-knicks.xls";28;11;9;24;14;7;102;41;26;9;10;10
"knicks";127;"DIA 4.1 mavericks-knicks.xls";34;10;8;20;20;7;93;48;21;8;25;23
"knicks";128;"DIA 43.10 bucks-knicks.xls";33;10;7;10;12;7;100;51;22;9;20;17
"knicks";108;"DIA 52.12 knicks-raptors.xls";26;13;8;26;15;7;89;40;16;8;26;20
"knicks";112;"DIA 56.13 knicks-bucks.xls";29;10;8;19;14;7;92;45;17;4;19;18
"knicks";121;"DIA 62.14 hawks-knicks.xls";33;8;10;14;13;7;101;49;28;13;13;10
"knicks";132;"DIA 67.15 pacers-knicks.xls";36;9;12;16;16;7;110;52;28;10;19;18
"knicks";97;"DIA 71.16 knicks-pelicans.xls";20;8;9;21;19;7;95;35;31;10;19;17
"knicks";113;"DIA 78.17 timberwolves-knicks.xls";29;12;6;21;15;7;94;42;30;11;28;18
"knicks";124;"DIA 97.21 celtics-knicks.xls";37;8;7;10;9;7;98;48;28;12;18;16
"Suns";112;"DIA 118.25 Suns-timberwolves.xls";34;0;5;12;11;7;97;43;34;17;11;9
"Suns";124;"DIA 34.8 pelicans-Suns.xls";30;13;4;23;20;7;97;48;29;15;14;13
"Suns";121;"DIA 44.10 Suns-cavaliers.xls";32;6;7;12;12;7;99;46;26;10;26;19
"Suns";135;"DIA 48.11 Suns-rockets.xls";32;12;10;9;16;7;92;54;27;10;18;17
"Suns";128;"DIA 51.12 mavericks-Suns.xls";30;11;11;10;13;7;96;49;32;13;22;17
"Suns";123;"DIA 67.15 Suns-wizards.xls";33;8;9;10;18;7;88;43;32;14;32;23
"Suns";119;"DIA 73.16 Suns-knicks.xls";28;6;8;16;16;7;91;43;34;14;24;19
"cavaliers";113;"DIA 100.21 pistons-cavaliers.xls";28;6;3;14;10;7;97;42;31;9;25;20
"cavaliers";74;"DIA 103.22 spurs-cavaliers.xls";19;6;5;9;7;7;92;28;27;8;14;10
"cavaliers";95;"DIA 117.25 rockets-cavaliers.xls";28;5;8;8;11;7;96;43;30;8;3;1
"cavaliers";89;"DIA 118.25 cavaliers-thunder.xls";23;9;4;16;17;7;90;34;25;9;14;12
"cavaliers";110;"DIA 125.27 heat-cavaliers.xls";26;12;6;6;8;7;104;44;30;8;16;14
"cavaliers";137;"DIA 19.5 cavaliers-grizzlies.xls";42;6;6;14;15;7;112;59;19;6;17;13
"cavaliers";109;"DIA 23.6 cavaliers-heat.xls";30;12;10;14;15;7;97;48;12;3;11;10
"cavaliers";104;"DIA 24.6 cavaliers-hornets.xls";28;4;9;12;6;7;110;43;14;4;23;14
"cavaliers";90;"DIA 33.8 cavaliers-nets.xls";28;9;6;13;13;7;100;36;33;11;13;7
"cavaliers";83;"DIA 53.12 cavaliers-trailblazers.xls";21;7;7;22;14;7;92;35;20;4;13;9
"cavaliers";96;"DIA 61.14 nets-cavaliers.xls";24;7;7;11;7;7;99;40;21;3;22;13
"cavaliers";114;"DIA 73.16 nuggets-cavaliers.xls";21;14;7;7;5;7;111;46;31;10;15;12
"cavaliers";75;"DIA 81.18 clippers-cavaliers.xls";17;9;8;7;7;7;100;31;28;2;14;11
"cavaliers";93;"DIA 93.20 raptors-cavaliers.xls";24;12;3;11;14;7;94;38;15;4;15;13
"warriors";60;"DIA 130.28 lakers-warriors.xls";14;5;8;23;13;7;85;23;24;4;16;10
"warriors";92;"DIA 114.24 thunder-warriors.xls";25;11;15;14;7;7;103;38;32;12;6;4
"warriors";131;"DIA 25.6 warriors-clippers.xls";32;10;4;17;12;7;104;52;31;14;15;13
"warriors";100;"DIA 27.7 warriors-timberwolves.xls";23;8;8;10;15;7;94;37;29;7;20;19
"warriors";116;"DIA 32.8 Suns-warriors.xls";28;7;5;8;12;7;101;44;30;9;20;19
"warriors";110;"DIA 46.11 trailblazers-warriors.xls";34;5;5;14;18;7;93;39;36;15;20;17
"warriors";122;"DIA 53.12 clippers-warriors.xls";32;5;10;22;16;7;99;41;33;12;36;28
"warriors";124;"DIA 76.17 pelicans-warriors.xls";34;10;9;19;15;7;100;47;29;10;21;20
"warriors";88;"DIA 88.19 warriors-trailblazers.xls";24;6;8;16;22;7;86;37;23;5;15;9
"bucks";123;"DIA 104.22 magic-bucks.xls";30;12;8;9;4;8;108;50;39;12;12;11
"bucks";126;"DIA 19.5 bucks-celtics.xls";33;4;8;14;15;8;111;47;38;14;22;18
"bucks";114;"DIA 20.5 nuggets-bucks.xls";27;6;6;16;19;8;90;39;27;11;35;25
"bucks";110;"DIA 21.6 timberwolves-bucks.xls";25;12;5;14;19;8;108;41;40;15;16;13
"bucks";99;"DIA 26.7 Jazz-bucks.xls";29;9;2;15;13;8;109;43;25;9;7;4
"bucks";106;"DIA 36.9 bucks-pistons.xls";35;8;7;16;11;8;101;44;33;12;7;6
"bucks";111;"DIA 6.2 Suns-bucks.xls";25;15;9;16;19;8;100;47;25;6;11;11
"bucks";82;"DIA 60.13 bucks-Bulls.xls";23;7;8;20;11;8;101;34;29;8;7;6
"bucks";74;"DIA 76.17 Kings-bucks.xls";25;6;9;12;15;8;92;31;29;6;8;6
"bucks";96;"DIA 79.17 bucks-pacers.xls";23;11;7;15;13;8;93;37;30;10;16;12
"bucks";76;"DIA 8.2 bucks-spurs.xls";19;5;5;15;17;8;85;28;34;11;11;9
"bucks";110;"DIA 95.20 bucks-hornets.xls";25;10;6;13;12;8;97;41;38;13;18;15
"mavericks";114;"DIA 127.28 bucks-mavericks.xls";32;9;10;12;12;8;90;45;15;6;25;18
"mavericks";116;"DIA 120.26 nets-mavericks.xls";32;5;8;20;12;8;96;44;31;13;18;15
"mavericks";115;"DIA 45.10 knicks-mavericks.xls";31;10;3;23;12;8;96;42;21;8;27;23
"mavericks";122;"DIA 48.11 pacers-mavericks.xls";25;12;9;15;14;8;85;42;13;3;45;35
"mavericks";101;"DIA 74.16 mavericks-pacers.xls";22;1;3;19;9;8;101;41;27;10;10;9
"mavericks";119;"DIA 9.3 mavericks-Jazz.xls";29;10;5;12;20;8;104;49;28;12;12;9
"mavericks";94;"DIA 90.19 mavericks-hornets.xls";26;11;9;16;12;8;101;39;27;6;13;10
"mavericks";116;"DIA 93.20 mavericks-heat.xls";35;9;6;22;11;8;100;48;30;12;11;8
"Bulls";110;"DIA 111.24 Bulls-rockets.xls";31;6;8;15;8;8;88;42;16;9;21;17
"Bulls";80;"DIA 117.25 Jazz-Bulls.xls";18;5;7;13;15;8;91;35;14;5;6;5
"Bulls";106;"DIA 46.11 wizards-Bulls.xls";30;8;10;21;7;8;104;44;19;7;15;11
"Bulls";112;"DIA 53.12 Bulls-knicks.xls";28;12;13;8;12;8;103;42;31;8;23;20
"Bulls";116;"DIA 80.17 Bulls-knicks.xls";21;15;11;13;14;8;96;41;16;5;35;29
"Bulls";104;"DIA 91.20 knicks-Bulls.xls";27;9;19;7;7;8;102;44;19;4;16;12
"Bulls";114;"DIA 95.20 Bulls-hawks.xls";27;4;11;8;5;8;90;39;14;5;36;31
"Bulls";121;"DIA 98.21 raptors-Bulls.xls";32;8;16;15;15;8;106;49;14;4;25;19
"raptors";118;"DIA 128.28 thunder-raptors.xls";29;7;8;15;12;8;99;43;24;8;35;24
"raptors";130;"DIA 103.22 raptors-trailblazers.xls";33;8;2;22;12;8;92;50;25;11;31;19
"raptors";121;"DIA 113.24 lakers-raptors.xls";32;12;9;13;13;8;98;47;32;12;20;15
"raptors";116;"DIA 32.8 spurs-raptors.xls";34;10;10;19;14;8;102;47;26;11;14;11
"raptors";105;"DIA 40.9 magic-raptors.xls";24;11;7;12;13;8;97;39;37;10;23;17
"raptors";117;"DIA 51.12 raptors-spurs.xls";21;8;7;13;10;8;92;41;18;4;35;31
"raptors";100;"DIA 62.14 raptors-Jazz.xls";26;8;5;15;17;8;93;41;20;8;15;10
"raptors";124;"DIA 89.19 pacers-raptors.xls";28;11;9;15;9;8;96;45;25;12;32;22
"grizzlies";102;"DIA 129.28 grizzlies-rockets.xls";28;17;5;16;13;8;99;46;16;5;7;5
"grizzlies";124;"DIA 103.22 grizzlies-timberwolves.xls";39;7;5;8;9;8;102;52;24;12;12;8
"grizzlies";120;"DIA 114.24 grizzlies-hornets.xls";27;8;8;17;9;8;102;43;33;11;27;23
"grizzlies";126;"DIA 12.3 Sixers-grizzlies.xls";31;8;4;5;17;8;103;50;24;10;19;16
"grizzlies";127;"DIA 126.27 nets-grizzlies.xls";32;6;4;9;13;8;96;46;32;16;24;19
"grizzlies";88;"DIA 20.5 grizzlies-pelicans.xls";25;10;3;13;20;8;92;34;21;7;21;13
"grizzlies";94;"DIA 26.7 warriors-grizzlies.xls";23;6;0;10;11;8;100;36;17;5;23;17
"grizzlies";137;"DIA 48.11 grizzlies-warriors.xls";29;12;7;9;15;8;100;54;20;7;29;22
"grizzlies";123;"DIA 55.12 grizzlies-trailblazers.xls";23;7;4;24;9;8;98;46;20;7;32;24
"grizzlies";106;"DIA 73.16 grizzlies-rockets.xls";21;9;7;9;13;8;87;40;16;8;23;18
"grizzlies";124;"DIA 82.18 timberwolves-grizzlies.xls";26;16;9;15;13;8;96;46;20;9;30;23
"grizzlies";109;"DIA 83.18 clippers-grizzlies.xls";28;10;3;8;8;8;103;44;33;8;17;13
"grizzlies";119;"DIA 87.19 pistons-grizzlies.xls";29;7;3;8;12;8;93;46;22;11;22;16
"pistons";102;"DIA 109.23 pacers-pistons.xls";20;12;12;12;8;8;103;40;22;6;19;16
"pistons";108;"DIA 18.5 pistons-pacers.xls";28;17;7;16;13;8;104;46;15;4;14;12
"pistons";103;"DIA 30.7 thunder-pistons.xls";29;6;6;13;9;8;102;38;16;5;27;22
"pistons";117;"DIA 32.8 Bulls-pistons.xls";30;7;8;13;15;8;103;43;26;8;29;23
"pistons";114;"DIA 49.11 pistons-knicks.xls";35;6;10;12;14;8;89;44;17;5;26;21
"heat";138;"DIA 115.25 heat-timberwolves.xls";34;9;8;14;13;8;92;54;20;11;26;19
"heat";84;"DIA 118.25 Jazz-heat.xls";29;5;8;14;9;8;95;36;24;3;14;9
"heat";125;"DIA 122.26 hawks-heat.xls";32;5;5;12;15;8;88;46;24;9;31;24
"heat";102;"DIA 27.7 Kings-heat.xls";24;9;3;22;16;8;98;40;19;5;29;17
"heat";142;"DIA 30.7 heat-mavericks.xls";38;13;2;25;15;8;107;53;33;16;25;20
"heat";108;"DIA 40.9 bucks-heat.xls";25;5;6;15;11;8;98;40;28;8;27;20
"heat";129;"DIA 48.11 heat-bucks.xls";34;7;7;8;9;8;100;50;31;14;18;15
"heat";106;"DIA 49.11 nuggets-heat.xls";21;11;14;15;10;8;88;37;25;7;31;25
